,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(intensity)[T.0.2],0.097,0.071,1.362,0.173,-0.042,0.236
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(intensity)[T.0.2],0.014,0.071,0.192,0.848,-0.126,0.153
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.002,0.071,-0.022,0.982,-0.141,0.138
C(metric)[T.dtw]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.018,0.071,-0.252,0.801,-0.157,0.121
C(metric)[T.edr]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.048,0.071,-0.680,0.497,-0.188,0.091
C(metric)[T.erp]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.065,0.071,-0.913,0.361,-0.204,0.074
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.047,0.071,-0.666,0.505,-0.187,0.092
C(metric)[T.lcss]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.082,0.071,-1.153,0.249,-0.221,0.057
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.069,0.071,-0.967,0.334,-0.208,0.071
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.047,0.071,-0.666,0.505,-0.187,0.092
C(metric)[T.msm]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.070,0.071,-0.982,0.326,-0.209,0.069
C(metric)[T.sbd]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.013,0.071,-0.188,0.851,-0.153,0.126
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.005,0.071,-0.067,0.947,-0.144,0.135
C(metric)[T.twe]:C(classifier)[T.svm]:C(intensity)[T.0.4],-0.068,0.071,-0.962,0.336,-0.208,0.071
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(intensity)[T.0.4],0.034,0.071,0.472,0.637,-0.106,0.173
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(intensity)[T.0.4],0.015,0.071,0.204,0.838,-0.125,0.154
C(metric)[T.ddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.059,0.071,-0.831,0.406,-0.198,0.080
C(metric)[T.dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.010,0.071,-0.137,0.891,-0.149,0.130
C(metric)[T.edr]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.048,0.071,0.674,0.500,-0.091,0.187
C(metric)[T.erp]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.049,0.071,0.684,0.494,-0.091,0.188
C(metric)[T.euclidean]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.013,0.071,0.178,0.859,-0.127,0.152
C(metric)[T.lcss]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.049,0.071,0.686,0.492,-0.091,0.188
C(metric)[T.manhattan]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.043,0.071,0.599,0.549,-0.097,0.182
C(metric)[T.minkowski]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.002,0.071,0.026,0.980,-0.137,0.141
C(metric)[T.msm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.049,0.071,0.688,0.491,-0.090,0.188
C(metric)[T.sbd]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.003,0.071,0.038,0.970,-0.137,0.142
C(metric)[T.shape_dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.017,0.071,-0.242,0.809,-0.156,0.122
C(metric)[T.twe]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.050,0.071,0.703,0.482,-0.089,0.189
C(metric)[T.wddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.039,0.071,-0.551,0.582,-0.178,0.100
C(metric)[T.wdtw]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.011,0.071,-0.153,0.878,-0.150,0.128
C(metric)[T.ddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.035,0.071,-0.488,0.626,-0.174,0.105
C(metric)[T.dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.026,0.071,-0.360,0.719,-0.165,0.114
C(metric)[T.edr]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.228,0.071,3.202,0.001,0.088,0.367
C(metric)[T.erp]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.154,0.071,2.168,0.030,0.015,0.293
C(metric)[T.euclidean]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.044,0.071,0.625,0.532,-0.095,0.184
C(metric)[T.lcss]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.246,0.071,3.468,0.001,0.107,0.386
C(metric)[T.manhattan]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.172,0.071,2.425,0.015,0.033,0.312
C(metric)[T.minkowski]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.044,0.071,0.625,0.532,-0.095,0.184
C(metric)[T.msm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.177,0.071,2.486,0.013,0.037,0.316
